"Time","experimental-project-8457b5d6f6-bwdmb / app-namespace / PKG","experimental-project-8457b5d6f6-bwdmb / app-namespace / DRAM","experimental-project-8457b5d6f6-bwdmb / app-namespace / OTHER","experimental-project-8457b5d6f6-bwdmb / app-namespace / GPU"
2025-03-03 11:54:40,0.845,0,4.89,0
2025-03-03 11:54:42,0.845,0,4.89,0
2025-03-03 11:54:44,0.845,0,4.89,0
2025-03-03 11:54:46,0.845,0,4.89,0
2025-03-03 11:54:48,0.845,0,4.89,0
2025-03-03 11:54:50,0.845,0,4.89,0
2025-03-03 11:54:52,0.845,0,4.89,0
2025-03-03 11:54:54,0.845,0,4.89,0
2025-03-03 11:54:56,0.845,0,4.89,0
2025-03-03 11:54:58,0.845,0,4.89,0
2025-03-03 11:55:00,0.845,0,4.89,0
2025-03-03 11:55:02,0.845,0,4.89,0
2025-03-03 11:55:04,0.845,0,4.89,0
2025-03-03 11:55:06,0.845,0,4.89,0
2025-03-03 11:55:08,0.845,0,4.89,0
2025-03-03 11:55:10,0.855,0,4.86,0
2025-03-03 11:55:12,0.855,0,4.86,0
2025-03-03 11:55:14,0.855,0,4.86,0
2025-03-03 11:55:16,0.855,0,4.86,0
2025-03-03 11:55:18,0.855,0,4.86,0
2025-03-03 11:55:20,0.855,0,4.86,0
2025-03-03 11:55:22,0.855,0,4.86,0
2025-03-03 11:55:24,0.855,0,4.86,0
2025-03-03 11:55:26,0.855,0,4.86,0
2025-03-03 11:55:28,0.855,0,4.86,0
2025-03-03 11:55:30,0.855,0,4.86,0
2025-03-03 11:55:32,0.855,0,4.86,0
2025-03-03 11:55:34,0.855,0,4.86,0
2025-03-03 11:55:36,0.855,0,4.86,0
2025-03-03 11:55:38,0.855,0,4.86,0
2025-03-03 11:55:40,0.855,0,4.91,0
2025-03-03 11:55:42,0.855,0,4.91,0
2025-03-03 11:55:44,0.855,0,4.91,0
2025-03-03 11:55:46,0.855,0,4.91,0
2025-03-03 11:55:48,0.855,0,4.91,0
2025-03-03 11:55:50,0.855,0,4.91,0
2025-03-03 11:55:52,0.855,0,4.91,0
2025-03-03 11:55:54,0.855,0,4.91,0
2025-03-03 11:55:56,0.855,0,4.91,0
2025-03-03 11:55:58,0.855,0,4.91,0
2025-03-03 11:56:00,0.855,0,4.91,0
2025-03-03 11:56:02,0.855,0,4.91,0
2025-03-03 11:56:04,0.855,0,4.91,0
2025-03-03 11:56:06,0.855,0,4.91,0
2025-03-03 11:56:08,0.855,0,4.91,0
2025-03-03 11:56:10,0.865,0,4.93,0
2025-03-03 11:56:12,0.865,0,4.93,0
2025-03-03 11:56:14,0.865,0,4.93,0
2025-03-03 11:56:16,0.865,0,4.93,0
2025-03-03 11:56:18,0.865,0,4.93,0
2025-03-03 11:56:20,0.865,0,4.93,0
2025-03-03 11:56:22,0.865,0,4.93,0
2025-03-03 11:56:24,0.865,0,4.93,0
2025-03-03 11:56:26,0.865,0,4.93,0
2025-03-03 11:56:28,0.865,0,4.93,0
